language,simple_number_tokens,advanced_number_tokens,delta_tokens
Abkhaz_abk,2650,2860,210
Acoma_kjq,2189,2220,31
Alamblak_amp,276878,276878,0
Amele_aey,282106,282106,0
Apurina_apu,216105,216105,0
Arabic_Egyptian_arz,559809,559809,0
Arapesh_Mountain_ape,313569,313569,0
Asmat_tml,736,832,96
Bagirmi_bmi,67,68,1
Barasano_bsn,301879,303425,1546
Basque_eus,2766143,3550800,784657
Berber_MiddleAtlas_tzm,3644,3830,186
Burmese_mya,528128,40902,487226
Burushaski_bsk,185,185,0
CanelaKraho_ram,39898,40276,378
Chamorro_cha,233275,253436,20161
Chukchi_ckt,22677,22793,116
Cree_Plains_crk,612,641,29
Daga_dgz,252821,252843,22
Dani_LoweGrandValley_dni,0,0,0
English_eng,15955891,15864985,90906
Fijian_fij,268515,269942,1427
Finnish_fin,15980444,15696845,283599
French_fra,15195137,15678558,483421
Georgian_kat,836482,1032815,196333
German_deu,16099011,15903171,195840
Gooniyandi_gni,240,258,18
Grebo_gry,0,0,0
Greek_Modern_ell,16212378,15960039,252339
Greenlandic_West_kal,88134,88297,163
Guarani_gug,180442,204675,24233
Hausa_hau,231356,233393,2037
Hebrew_Modern_heb,5290560,6737489,1446929
Hindi_hin,2304409,2112281,192128
Hixkaryana_hix,57023,57485,462
HmongNjua_hnj,5602,5890,288
Imonda_imn,354,361,7
Indonesian_ind,5892959,5760552,132407
Jakaltek_jac,265326,295408,30082
Japanese_jpn,1290714,5997500,4706786
Kannada_kan,2160,2342,182
Karok_kyh,379,423,44
Kayardild_gyd,65,85,20
Kewa_kew,282373,282373,0
Khalkha_khk,172549,172767,218
Khoekhoe_naq,209442,209442,0
Kiowa_kio,80,179,99
Koasati_cku,0,0,0
Korean_kor,3436864,5948724,2511860
KoyraboroSenni_ses,0,0,0
Krongo_kgo,0,0,0
Kutenai_kut,32,48,16
Lakota_lkt,0,0,0
Lango_laj,213964,213964,0
Lavukaleve_lvk,1905,1941,36
Lezgian_lez,0,0,0
Luvale_lue,2432,2551,119
Makah_myh,393,394,1
Malagasy_plt,817977,946291,128314
Mandarin_cmn,1897794,12060320,10162526
Mangarrayi_mpc,0,0,0
Mapudungun_arn,239259,239792,533
Maricopa_mrc,0,0,0
Martuthunira_vma,7658,7874,216
Maung_mph,26176,26176,0
Maybrat_ayz,678,678,0
Meithei_mni,0,0,0
Mixtec_Chalcatongo_mig,223793,268161,44368
Ngiyambaa_wyb,34,45,11
Oneida_one,0,0,0
Oromo_Harar_hae,205876,206966,1090
Otomi_Mezquital_ote,3698,3952,254
Paiwan_pwn,0,0,0
Persian_pes,5385056,5250801,134255
Piraha_myp,0,0,0
Quechua_Imbabura_qvi,198842,198842,0
Rama_rma,456,458,2
Rapanui_rap,2714,2792,78
Russian_rus,5903177,5723100,180077
Sango_sag,312472,312621,149
Sanuma_xsu,500527,500527,0
Slave_scs,0,0,0
Spanish_spa,15914725,15777791,136934
Supyire_spp,0,0,0
Swahili_swh,167424,168316,892
Tagalog_tgl,2873591,3114081,240490
Thai_tha,2381971,8739745,6357774
Tiwi_tiw,0,0,0
TukangBesi_bhq,0,0,0
Turkish_tur,5712949,5528054,184895
Vietnamese_vie,6003452,6858326,854874
Warao_wba,395,399,4
Wari_pav,0,0,0
Wichi_mzh,884293,931061,46768
Wichita_wic,772,773,1
Yagua_yad,194137,194377,240
Yaqui_yaq,306039,377078,71039
Yoruba_yor,942404,942610,206
Zoque_Copainala_zoc,872,894,22
Zulu_zul,2150,2309,159
