language,fic_lines,nfi_lines,con_lines,pro_lines,tec_lines,gre_lines,fic_files,nfi_files,con_files,pro_files,tec_files,gre_files,total_lines,total_files
Abkhaz_abk,0,0,0,211,0,0,0,0,0,1,0,0,211,1
Acoma_kjq,0,256,0,0,0,0,0,1,0,0,0,0,256,1
Alamblak_amp,0,7945,0,0,0,0,0,1,0,0,0,0,7945,1
Amele_aey,0,9475,0,0,0,0,0,1,0,0,0,0,9475,1
Apurina_apu,0,7958,0,0,0,0,0,1,0,0,0,0,7958,1
Arabic_Egyptian_arz,0,31173,0,0,0,0,0,1,0,0,0,0,31173,1
Arapesh_Mountain_ape,0,7958,0,0,0,0,0,1,0,0,0,0,7958,1
Asmat_tml,0,0,30,0,0,0,0,0,2,0,0,0,30,2
Bagirmi_bmi,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barasano_bsn,0,7956,0,0,0,0,0,1,0,0,0,0,7956,1
Basque_eus,0,585317,0,213,0,0,0,669,0,1,0,0,585530,670
Berber_MiddleAtlas_tzm,0,0,0,213,0,0,0,0,0,1,0,0,213,1
Burmese_mya,0,30997,0,212,0,0,0,1,0,1,0,0,31209,2
Burushaski_bsk,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CanelaKraho_ram,0,25,0,0,0,0,0,1,0,0,0,0,25,1
Chamorro_cha,0,7925,0,212,0,0,0,1,0,1,0,0,8137,2
Chukchi_ckt,0,1151,0,0,0,0,0,1,0,0,0,0,1151,1
Cree_Plains_crk,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Daga_dgz,0,7954,0,0,0,0,0,1,0,0,0,0,7954,1
Dani_LowerGrandValley_dni,0,0,23,0,0,0,0,0,1,0,0,0,23,1
English_eng,505424,879973,0,212,0,0,117,1266,0,1,0,0,1385609,1384
Fijian_fij,0,7917,0,217,0,0,0,1,0,1,0,0,8134,2
Finnish_fin,653165,1257064,0,216,0,0,161,2413,0,1,0,0,1910445,2575
French_fra,531960,794119,0,211,0,0,126,1211,0,1,0,0,1326290,1338
Georgian_kat,0,156707,0,211,0,0,0,217,0,1,0,0,156918,218
German_deu,629526,890670,0,213,0,0,152,1478,0,1,0,0,1520409,1631
Gooniyandi_gni,0,0,20,0,0,0,0,0,1,0,0,0,20,1
Greek_Modern_ell,540378,932823,0,426,0,0,165,1420,0,2,0,0,1473627,1587
Greenlandic_West_kal,0,6287,0,211,0,0,0,1,0,1,0,0,6498,2
Guarani_gug,0,7897,0,203,0,0,0,1,0,1,0,0,8100,2
Hausa_hau,0,7931,0,422,0,0,0,1,0,2,0,0,8353,3
Hebrew_Modern_heb,8734,988620,0,209,0,0,5,1630,0,1,0,0,997563,1636
Hindi_hin,0,137594,0,215,0,0,0,72,0,1,0,0,137809,73
Hixkaryana_hix,0,126,0,0,0,0,0,1,0,0,0,0,126,1
HmongNjua_hnj,0,0,0,211,0,0,0,0,0,1,0,0,211,1
Imonda_imn,0,52,0,0,0,0,0,1,0,0,0,0,52,1
Indonesian_ind,0,1081196,0,212,0,0,0,1226,0,1,0,0,1081408,1227
Jakaltek_jac,0,7958,0,0,0,0,0,1,0,0,0,0,7958,1
Japanese_jpn,23016,833657,0,212,0,0,25,1042,0,1,0,0,856885,1068
Kannada_kan,0,0,0,209,0,0,0,0,0,1,0,0,209,1
Karok_kyh,0,48,0,0,0,0,0,1,0,0,0,0,48,1
Kayardild_gyd,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kewa_kew,0,9448,0,0,0,0,0,1,0,0,0,0,9448,1
Khalkha_khk,0,7933,0,210,0,0,0,1,0,1,0,0,8143,2
Khoekhoe_naq,0,7958,0,0,0,0,0,1,0,0,0,0,7958,1
Kiowa_kio,0,15,0,0,0,0,0,1,0,0,0,0,15,1
Korean_kor,0,799184,0,212,0,0,0,853,0,1,0,0,799396,854
Kutenai_kut,0,11,0,0,0,0,0,1,0,0,0,0,11,1
Lango_laj,0,7958,0,0,0,0,0,1,0,0,0,0,7958,1
Lavukaleve_lvk,0,232,0,0,0,0,0,2,0,0,0,0,232,2
Luvale_lue,0,0,0,210,0,0,0,0,0,1,0,0,210,1
Makah_myh,0,5,49,0,0,0,0,2,3,0,0,0,54,5
Malagasy_plt,0,31454,0,206,0,0,0,1,0,1,0,0,31660,2
Mandarin_cmn,214841,757871,0,426,0,0,115,667,0,2,0,0,973138,784
Mapudungun_arn,0,7958,0,316,0,0,0,1,0,1,0,0,8274,2
Martuthunira_vma,0,0,641,0,0,0,0,0,7,0,0,0,641,7
Maung_mph,0,676,0,0,0,0,0,1,0,0,0,0,676,1
Maybrat_ayz,0,66,0,0,0,0,0,1,0,0,0,0,66,1
Mixtec_Chalcatongo_mig,0,7958,0,0,0,0,0,1,0,0,0,0,7958,1
Ngiyambaa_wyb,0,0,67,0,0,0,0,0,1,0,0,0,67,1
Oromo_Harar_hae,0,7958,0,0,0,0,0,1,0,0,0,0,7958,1
Otomi_Mezquital_ote,0,0,0,211,0,0,0,0,0,1,0,0,211,1
Persian_pes,1018,996674,0,210,0,0,1,1173,0,1,0,0,997902,1175
Quechua_Imbabura_qvi,0,7786,0,0,0,0,0,1,0,0,0,0,7786,1
Rama_rma,0,37,0,0,0,0,0,1,0,0,0,0,37,1
Rapanui_rap,0,189,0,0,0,0,0,3,0,0,0,0,189,3
Russian_rus,5855,1005742,0,213,0,0,4,1581,0,1,0,0,1011810,1586
Sango_sag,0,7958,0,213,0,0,0,1,0,1,0,0,8171,2
Sanuma_xsu,0,7958,0,0,0,0,0,1,0,0,0,0,7958,1
Spanish_spa,557101,898348,0,213,0,0,119,1355,0,1,0,0,1455662,1475
Swahili_swh,0,7944,0,213,0,0,0,2,0,1,0,0,8157,3
Tagalog_tgl,108221,42763,0,216,0,0,55,44,0,1,0,0,151200,100
Thai_tha,0,817050,0,210,0,0,0,1001,0,1,0,0,817260,1002
Turkish_tur,0,1167028,0,212,0,0,0,1922,0,1,0,0,1167240,1923
Vietnamese_vie,0,721520,0,428,0,0,0,859,0,2,0,0,721948,861
Warao_wba,0,43,0,0,0,0,0,1,0,0,0,0,43,1
Wichi_mzh,0,31157,0,0,0,0,0,1,0,0,0,0,31157,1
Wichita_wic,0,0,147,0,0,0,0,0,2,0,0,0,147,2
Yagua_yad,0,7957,0,213,0,0,0,1,0,1,0,0,8170,2
Yaqui_yaq,0,7957,0,0,0,0,0,1,0,0,0,0,7957,1
Yoruba_yor,0,30819,0,211,0,0,0,1,0,1,0,0,31030,2
Zoque_Copainala_zoc,0,147,0,0,0,0,0,1,0,0,0,0,147,1
Zulu_zul,0,0,0,212,0,0,0,0,0,1,0,0,212,1
