"name","types","tokens","ttr"
"Abkhaz_abk",64,10003,0.00639808057582725
"Acoma_kjq",43,15893,0.0027055936575851
"Alamblak_amp",66,1290455,5.11447512699009e-05
"Arabic_Egyptian_arz",426,1961436,0.000217187815457655
"Asmat_tml",24,199,0.120603015075377
"Bagirmi_bmi",47,210,0.223809523809524
"Basque_eus",71,53270,0.00133283273887742
"CanelaKraho_ram",79,130177,0.000606866036242961
"Dani_LowerGrandValley_dni",33,1789,0.0184460592509782
"English_eng",78,3125326,2.49573964444029e-05
"Finnish_fin",81,278739,0.000290594427044655
"Kayardild_gyd",21,221,0.0950226244343891
"Lavukaleve_lvk",46,7575,0.00607260726072607
"Vietnamese_vie",134,15543,0.0086212442900341
