language_name_wals,iso639_3,writing_system
Abkhaz,abk,Cyrl
Acoma,kjq,Latn
Alamblak,amp,Latn
Amele,aey,Latn
Apurinã,apu,Latn
Arabic (Egyptian),arz,Arab
Arapesh (Mountain),ape,Latn
Asmat,tml,Latn
Bagirmi,bmi,Latn
Barasano,bsn,Latn
Basque,eus,Latn
Berber (Middle Atlas),tzm,Latn
Burmese,mya,Mymr
Burushaski,bsk,Latn
Canela-Krahô,ram,Latn
Chamorro,cha,Latn
Chukchi,ckt,Cyrl
Daga,dgz,Latn
Dani (Lower Grand Valley),dni,Latn
English,eng,Latn
Fijian,fij,Latn
Finnish,fin,Latn
French,fra,Latn
Georgian,kat,Geor
German,deu,Latn
Gooniyandi,gni,Latn
Greek (Modern),ell,Grek
Greenlandic (West),kal,Latn
Guraní,gug,Latn
Guaraní,gug,Latn
Hausa,hau,Latn
Hebrew (Modern),heb,Hebr
Hindi,hin,Deva
Hindi,hin,Latn
Hixkaryana,hix,Latn
Hmong Njua,hnj,Latn
Imonda,imn,Latn
Indonesian,ind,Latn
Jakaltek,jac,Latn
Japanese,jpn,Jpan
Kannada,kan,Knda
Kayardild,gyd,Latn
Kewa,kew,Latn
Khalkha,khk,Latn
Khalkha,khk,Cyrl
Khoekhoe,naq,Latn
Kiowa,kio,Latn
Korean,kor,Hang
Korean,kor,Kore
Kutenai,kut,Latn
Lango,laj,Latn
Lavukaleve,lvk,Latn
Luvale,lue,Latn
Makah,myh,Latn
Malagasy,plt,Latn
Mandarin,cmn,Hans
Mandarin,cmn,Hant
Mapudungun,arn,Latn
Martuthunira,vma,Latn
Maung,mph,Latn
Maybrat,ayz,Latn
Mixtec (Chalcatongo),mig,Latn
Ngiyambaa,wyb,Latn
Oromo (Harar),hae,Latn
Otomí (Mezquital),ote,Latn
Otomi (Mezquital),ote,Latn
Persian,pes,Arab
Pirahã,myp,Latn
Quechua (Imbabura),qvi,Latn
Rama,rma,Latn
Rapanui,rap,Latn
Russian,rus,Cyrl
Sango,sag,Latn
Sanuma,xsu,Latn
Spanish,spa,Latn
Swahili,swh,Latn
Tagalog,tgl,Latn
Thai,tha,Thai
Turkish,tur,Latn
Vietnamese,vie,Latn
Vietnamese,vie,Hani
Warao,wba,Latn
Wichí,mzh,Latn
Wichita,wic,Latn
Yagua,yad,Latn
Yaqui,yaq,Latn
Yoruba,yor,Latn
Zoque (Copainalá),zoc,Latn
Zulu,zul,Latn
